imagem,filtro,detectado,gabarito,erro_abs,erro_perc,iou,tp,fp,fn
jw-15min 1,mediana,19,29,10,34.48,0.2809,4,15,25
jw-15min 1,gaussiano,20,29,9,31.03,0.2512,3,17,26
jw-15min 1,fft,17,29,12,41.38,0.2022,3,14,26
jw-15min 2,mediana,13,24,11,45.83,0.1914,4,9,20
jw-15min 2,gaussiano,12,24,12,50.0,0.1861,4,8,20
jw-15min 2,fft,15,24,9,37.5,0.194,3,12,21
jw-15min 3,mediana,11,27,16,59.26,0.3347,5,6,22
jw-15min 3,gaussiano,14,27,13,48.15,0.3415,3,11,24
jw-15min 3,fft,12,27,15,55.56,0.2912,3,9,24
jw-15min 4,mediana,21,32,11,34.38,0.1022,2,19,30
jw-15min 4,gaussiano,21,32,11,34.38,0.1258,3,18,29
jw-15min 4,fft,17,32,15,46.88,0.1059,4,13,28
jw-15min 5,mediana,18,38,20,52.63,0.2532,4,14,33
jw-15min 5,gaussiano,16,38,22,57.89,0.263,4,12,33
jw-15min 5,fft,23,38,15,39.47,0.2113,3,20,34
jw-1h 1,mediana,19,36,17,47.22,0.1335,3,16,33
jw-1h 1,gaussiano,19,36,17,47.22,0.1275,3,16,33
jw-1h 1,fft,20,36,16,44.44,0.1128,1,19,35
jw-1h 2,mediana,12,23,11,47.83,0.2522,3,9,20
jw-1h 2,gaussiano,13,23,10,43.48,0.2346,2,11,21
jw-1h 2,fft,16,23,7,30.43,0.263,2,14,21
jw-1h 3,mediana,8,24,16,66.67,0.1294,2,6,22
jw-1h 3,gaussiano,9,24,15,62.5,0.1678,3,6,21
jw-1h 3,fft,9,24,15,62.5,0.1552,2,7,22
jw-1h 4,mediana,7,21,14,66.67,0.2857,2,5,19
jw-1h 4,gaussiano,7,21,14,66.67,0.2888,1,6,20
jw-1h 4,fft,7,21,14,66.67,0.2883,1,6,20
jw-1h 5,mediana,11,23,12,52.17,0.2981,7,4,16
jw-1h 5,gaussiano,10,23,13,56.52,0.2811,5,5,18
jw-1h 5,fft,11,23,12,52.17,0.1858,1,10,22
jw-24h 1,mediana,16,22,6,27.27,0.2414,5,11,17
jw-24h 1,gaussiano,14,22,8,36.36,0.2474,6,8,16
jw-24h 1,fft,14,22,8,36.36,0.2403,4,10,18
jw-24h 2,mediana,17,23,6,26.09,0.2743,7,10,16
jw-24h 2,gaussiano,18,23,5,21.74,0.285,7,11,16
jw-24h 2,fft,18,23,5,21.74,0.1803,2,16,21
jw-24h 3,mediana,17,23,6,26.09,0.217,1,16,22
jw-24h 3,gaussiano,21,23,2,8.7,0.1943,3,18,20
jw-24h 3,fft,17,23,6,26.09,0.1495,1,16,22
jw-24h 4,mediana,21,28,7,25.0,0.5301,17,4,11
jw-24h 4,gaussiano,21,28,7,25.0,0.5407,15,6,13
jw-24h 4,fft,22,28,6,21.43,0.5102,16,6,12
jw-24h 5,mediana,16,20,4,20.0,0.5014,15,1,5
jw-24h 5,gaussiano,17,20,3,15.0,0.5524,16,1,4
jw-24h 5,fft,15,20,5,25.0,0.3898,12,3,8
jw-2h 1,mediana,16,34,18,52.94,0.1471,2,14,32
jw-2h 1,gaussiano,15,34,19,55.88,0.1154,3,12,31
jw-2h 1,fft,17,34,17,50.0,0.1122,2,15,32
jw-2h 2,mediana,19,31,12,38.71,0.0436,0,19,31
jw-2h 2,gaussiano,18,31,13,41.94,0.0489,0,18,31
jw-2h 2,fft,21,31,10,32.26,0.0618,1,20,30
jw-Kontrolle1,mediana,15,18,3,16.67,0.3781,6,9,12
jw-Kontrolle1,gaussiano,15,18,3,16.67,0.3389,7,8,11
jw-Kontrolle1,fft,12,18,6,33.33,0.2718,2,10,16
jw-Kontrolle2,mediana,15,19,4,21.05,0.2527,3,12,16
jw-Kontrolle2,gaussiano,18,19,1,5.26,0.2644,5,13,14
jw-Kontrolle2,fft,20,19,1,5.26,0.2385,3,17,16
jw-Kontrolle3,mediana,14,22,8,36.36,0.2388,5,9,17
jw-Kontrolle3,gaussiano,13,22,9,40.91,0.2158,4,9,18
jw-Kontrolle3,fft,14,22,8,36.36,0.221,6,8,16
